title,link,score
"As They Console Coronavirus’s Victims, Italy’s Priests Are Dying, Too",https://www.nytimes.com/2020/04/11/world/europe/italy-priests-coronavirus.html,0
"India Signals Plans to Extend Lockdown Against Coronavirus, While Spain Eases Work Rules: Live Coverage",https://www.nytimes.com/2020/04/11/world/coronavirus-news.html,0
"Childbirth in Venezuela, Where Women’s Deaths Are a State Secret",https://www.nytimes.com/2020/04/10/world/americas/venezuela-pregnancy-birth-death.html,0
Congo Was Close to Defeating Ebola. Then One More Case Emerged.,https://www.nytimes.com/2020/04/11/world/africa/congo-ebola-coronavirus.html,0
"Murder Rates Were Staggering. The Virus Has Brought Some Quiet, for Now.",https://www.nytimes.com/2020/04/11/world/americas/coronavirus-murder-latin-america-crime.html,0
How a Pandemic Rescued the Political Image of Ireland’s Leader,https://www.nytimes.com/2020/04/11/world/europe/ireland-leo-varadkar-coronavirus.html,0
China Delays Masks and Ventilator Exports After Quality Complaints,https://www.nytimes.com/2020/04/11/business/china-mask-exports-coronavirus.html,0
"A Very Different Good Friday, in Photographs",https://www.nytimes.com/2020/04/10/world/europe/a-very-different-good-friday-in-photographs.html,0
‘Like a Prison’: Paris Suburbs Simmer Under Coronavirus Lockdown,https://www.nytimes.com/2020/04/10/world/europe/coronavirus-paris-suburbs.html,0
Coronavirus Finds Fuel in a World of Migrants,https://www.nytimes.com/2020/04/10/world/asia/coronavirus-migrants.html,0
Russia Admits the Coronavirus Is Taking Hold After Months of Denial,https://www.nytimes.com/2020/04/10/world/europe/coronavirus-russia-moscow-putin.html,0
Puzzles and Potato Goulash: How Energy Workers Keep Lights On in Vienna,https://www.nytimes.com/2020/04/10/world/europe/austria-power-plants-coronavirus-isolation.html,0
Zoom Call With Israelis Lands a Gaza Peace Activist in Jail,https://www.nytimes.com/2020/04/10/world/middleeast/rami-aman-palestinian-activist-arrested.html,0
"South Korea Holds Elections, Despite Coronavirus Pandemic",https://www.nytimes.com/2020/04/10/world/asia/coronavirus-south-korea-election.html,0
"Chernobyl Wildfires Reignite, Stirring Up Radiation",https://www.nytimes.com/2020/04/11/world/europe/chernobyl-wildfire.html,0
How an Island Oasis Became the Epicenter of the Navy’s Coronavirus Outbreak,https://www.nytimes.com/2020/04/11/magazine/guam-theodore-roosevelt-navy-coronavirus.html,0
Help! The Coronavirus Struck and I Want a Refund,https://www.nytimes.com/2020/04/11/travel/coronavirus-travel-trip-refunds.html,0
Coronavirus Briefing: What Happened Today,https://www.nytimes.com/2020/04/10/us/coronavirus-today.html,0
"Show Us a Time Before the Pandemic, When Life Felt Normal",https://www.nytimes.com/2020/04/10/us/coronavirus-photos-before-callout.html,0
"Global Trade Sputters, Leaving Too Much Here, Too Little There",https://www.nytimes.com/2020/04/10/business/economy/global-trade-shortages-coronavirus.html,0
Coronavirus Contact Tracing: Apple and Google Team Up to Enable Virus Tracking,https://www.nytimes.com/2020/04/10/technology/apple-google-coronavirus-contact-tracing.html,0
From Behind the Scenes to the Forefront: Canada’s Public Health Officers,https://www.nytimes.com/2020/04/10/world/canada/coronavirus-bonnie-henry.html,0
In Detroit She’s a Hero. In Canada She’s Seen as a Potential Risk,https://www.nytimes.com/2020/04/10/world/canada/coronavirus-canada-detroit-nurses-hospital.html,0
How a 5G Coronavirus Conspiracy Theory Fueled Arson and Harassment in Britain,https://www.nytimes.com/2020/04/10/technology/coronavirus-5g-uk.html,0
Legal Abortion Begins in Northern Ireland,https://www.nytimes.com/2020/04/10/world/europe/northern-ireland-abortion-uk.html,0
11 of Our Best Weekend Reads,https://www.nytimes.com/2020/04/10/briefing/11-of-our-best-weekend-reads.html,0
